,Bus Name,Area Number,Zone Number,Volt (PU),Volt (KV),Angle (Deg),Gen MW,Gen MVAR,Load MW,Load MVAR,Shunt MW,Shunt MVAR,To Bus Name,MW,MVAR,Transformer Ratio,Transformer Angle (Deg),Percent,Rating,Load Flow Case
46,205     SUB230      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,206     URBGEN      18.000    2  1,-797.2297,-459.0458,1.000LK,0.0000,102,900,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
47,206     URBGEN      18.000,2,2,0.9725,17.5045,-20.0815,799.9999,600.0000,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
48,206     URBGEN      18.000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,205     SUB230      230.00    2  1,799.9789,599.9940,1.000UN,0.0000,111,900,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
49,211     HYDRO_G     20.000,2,2,1.1073,22.1463,-3.0325,600.0000,363.0677,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
50,211     HYDRO_G     20.000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,201     HYDRO       500.00    2  1,600.0163,363.0033,1.000UN,0.0000,88,800,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
51,3001     MINE        230.00,5,5,1.0118,232.7165,-4.5652,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
52,3001     MINE        230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3002     E. MINE     500.00    5  1,255.5106,49.2495,1.000LK,0.0000,33,800,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
53,3001     MINE        230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3003     S. MINE     230.00    5  1,586.7361,185.7418,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
54,3001     MINE        230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3011     MINE_G      13.800    5  1,-842.2494,-234.9913,1.000LK,0.0000,67,1300,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
55,3002     E. MINE     500.00,5,5,1.0045,502.2305,-6.7181,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
56,3002     E. MINE     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3001     MINE        230.00    5  1,-255.3122,-39.3286,1.000UN,0.0000,32,800,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
57,3002     E. MINE     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3004     WEST        500.00    5  1,255.3116,39.3286,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
58,3003     S. MINE     230.00,5,5,0.9982,229.5868,-7.2290,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
59,3003     S. MINE     230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3001     MINE        230.00    5  1,-586.7361,-156.1443,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
60,3003     S. MINE     230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3005     WEST        230.00    5  1,293.3672,78.0722,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
61,3003     S. MINE     230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3005     WEST        230.00    5  2,293.3672,78.0722,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
62,3004     WEST        500.00,5,5,0.9750,487.4836,-14.6555,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
63,3004     WEST        500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,152     MID500      500.00    1  1,58.5699,-145.2434,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
64,3004     WEST        500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3002     E. MINE     500.00    5  1,-251.3207,-12.2290,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
65,3004     WEST        500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3005     WEST        230.00    5  1,192.7492,157.4723,1.000LK,0.0000,31,800,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
66,3005     WEST        230.00,5,5,0.9485,218.1441,-16.5576,0.0000,0.0000,117.1658,50.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
67,3005     WEST        230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3003     S. MINE     230.00    5  1,-287.7743,-36.2683,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
68,3005     WEST        230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3003     S. MINE     230.00    5  2,-287.7743,-36.2683,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
69,3005     WEST        230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3004     WEST        500.00    5  1,-192.4885,-146.8819,1.000UN,0.0000,30,800,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
70,3005     WEST        230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3006     UPTOWN      230.00    5  1,57.1947,-19.9295,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
